"Run 1: Time (s)","Run 1: Illumination (lux)","Run 2: Time (s)","Run 2: Illumination (lux)","Run 3: Time (s)","Run 3: Illumination (lux)","Run 4: Time (s)","Run 4: Illumination (lux)","Run 5: Time (s)","Run 5: Illumination (lux)","Run 6: Time (s)","Run 6: Illumination (lux)"
1.866592,5384.70428467,1.866592,5384.70428467,1.866592,5386.76971436,1.866592,5384.70428467,1.866592,5177.51586914,1.866592,4553.88519287
1.883258,5384.70428467,1.883258,5384.70428467,1.883258,5384.70428467,1.883258,5384.70428467,1.883258,5179.58129883,1.883258,4558.01605225
1.899924,5384.70428467,1.899924,5384.70428467,1.899924,5384.70428467,1.899924,5384.70428467,1.899924,5195.97564697,1.899924,4566.14868164
1.91659,5384.70428467,1.91659,5384.70428467,1.91659,5384.70428467,1.91659,5384.70428467,1.91659,5187.84301758,1.91659,4572.3449707
1.933256,5384.70428467,1.933256,5384.70428467,1.933256,5384.70428467,1.933256,5382.63885498,1.933256,5187.84301758,1.933256,4566.14868164
1.949922,5384.70428467,1.949922,5384.70428467,1.949922,5386.76971436,1.949922,5384.70428467,1.949922,5179.58129883,1.949922,4564.21234131
1.966588,5384.70428467,1.966588,5384.70428467,1.966588,5386.76971436,1.966588,5384.70428467,1.966588,5181.64672852,1.966588,4574.41040039
1.983254,5384.70428467,1.983254,5384.70428467,1.983254,5384.70428467,1.983254,5384.70428467,1.983254,5191.8447876,1.983254,4568.21411133
1.99992,5384.70428467,1.99992,5384.70428467,1.99992,5384.70428467,1.99992,5384.70428467,1.99992,5195.97564697,1.99992,4558.01605225
2.016586,5384.70428467,2.016586,5384.70428467,2.016586,5384.70428467,2.016586,5382.63885498,2.016586,5177.51586914,2.016586,4568.21411133
2.033252,5384.70428467,2.033252,5384.70428467,2.033252,5384.70428467,2.033252,5384.70428467,2.033252,5195.97564697,2.033252,4572.3449707
2.049918,5384.70428467,2.049918,5386.76971436,2.049918,5384.70428467,2.049918,5384.70428467,2.049918,5202.17193604,2.049918,4545.62347412
2.066584,5384.70428467,2.066584,5386.76971436,2.066584,5384.70428467,2.066584,5386.76971436,2.066584,5193.91021729,2.066584,4564.21234131
2.08325,5384.70428467,2.08325,5384.70428467,2.08325,5384.70428467,2.08325,5384.70428467,2.08325,5187.84301758,2.08325,4568.21411133
2.099916,5384.70428467,2.099916,5384.70428467,2.099916,5384.70428467,2.099916,5384.70428467,2.099916,5189.77935791,2.099916,4545.62347412
2.116582,5384.70428467,2.116582,5384.70428467,2.116582,5384.70428467,2.116582,5384.70428467,2.116582,5200.10650635,2.116582,4570.27954102
2.133248,5386.76971436,2.133248,5384.70428467,2.133248,5384.70428467,2.133248,5386.76971436,2.133248,5198.04107666,2.133248,4576.47583008
2.149914,5386.76971436,2.149914,5384.70428467,2.149914,5384.70428467,2.149914,5384.70428467,2.149914,5187.84301758,2.149914,4555.95062256
2.16658,5384.70428467,2.16658,5384.70428467,2.16658,5386.76971436,2.16658,5384.70428467,2.16658,5195.97564697,2.16658,4570.27954102
